City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Beroroha,MG,2021-12-07 10:44:17,-21.6667,45.1667,108.52,15,0,1.03
182,Cayenne,GF,2021-12-07 10:44:18,4.9333,-52.3333,75.24,93,90,2.3
183,Lata,PT,2021-12-07 10:44:18,40.1629,-8.3327,58.08,88,99,9.66
184,Yellowknife,CA,2021-12-07 10:44:18,62.456,-114.3525,-16.71,76,1,9.22
185,Vittorio Veneto,IT,2021-12-07 10:45:19,45.9767,12.3033,46.44,44,7,2.44
186,Clyde River,CA,2021-12-07 10:41:11,70.4692,-68.5914,10.63,85,100,2.3
187,Shelburne,CA,2021-12-07 10:45:19,44.0787,-80.2041,23.85,91,37,14.32
188,Bethel,US,2021-12-07 10:45:20,41.3712,-73.414,39.56,64,1,1.01
189,Tumut,AU,2021-12-07 10:45:20,-35.3,148.2167,72.59,65,58,2.84
190,Anloga,GH,2021-12-07 10:45:21,5.7947,0.8973,88.02,71,77,8.46
191,Hearst,CA,2021-12-07 10:45:21,49.6835,-83.6665,-14.55,93,43,6.93
192,Kavieng,PG,2021-12-07 10:45:22,-2.5744,150.7967,81.39,83,100,18.16
193,Tiksi,RU,2021-12-07 10:45:22,71.6872,128.8694,-22.41,91,100,7.72
194,Bluff,NZ,2021-12-07 10:45:22,-46.6,168.3333,53.73,83,21,1.77
195,Poum,NC,2021-12-07 10:45:23,-20.2333,164.0167,82.0,73,24,9.86
196,Sandwick,GB,2021-12-07 10:45:23,60.0,-1.25,40.82,81,40,10.36
197,Dryden,CA,2021-12-07 10:44:02,49.7833,-92.7503,-10.91,84,1,6.91
198,Marsa Matruh,EG,2021-12-07 10:45:24,31.3525,27.2453,64.6,48,0,25.32
199,Havoysund,NO,2021-12-07 10:45:25,70.9963,24.6622,20.28,67,41,15.41
200,Benito Juarez,MX,2021-12-07 10:45:25,19.385,-99.165,55.99,66,13,0.74
201,Ballina,AU,2021-12-07 10:45:25,-28.8667,153.5667,73.44,87,75,6.91
202,Jumla,NP,2021-12-07 10:45:26,29.2747,82.1838,47.12,62,2,3.02
203,Husavik,IS,2021-12-07 10:45:26,66.0449,-17.3389,30.11,90,100,9.86
204,Port Blair,IN,2021-12-07 10:45:27,11.6667,92.75,80.46,70,71,12.97
205,Hilo,US,2021-12-07 10:42:21,19.7297,-155.09,78.28,46,90,5.75
206,Mackay,AU,2021-12-07 10:45:27,-21.15,149.2,79.05,78,40,8.05
207,Genhe,CN,2021-12-07 10:45:28,50.7833,121.5167,3.54,99,35,2.24
208,Gravdal,NO,2021-12-07 10:45:28,68.1214,13.5031,24.69,54,20,9.22
209,Hofn,IS,2021-12-07 10:45:29,64.2539,-15.2082,34.95,62,99,15.28
210,Pontian Kecil,MY,2021-12-07 10:45:29,1.4801,103.3899,86.38,72,49,10.6
211,Beisfjord,NO,2021-12-07 10:45:30,68.3751,17.5988,19.45,77,47,10.71
212,Bow Island,CA,2021-12-07 10:45:06,49.8668,-111.3684,12.38,85,77,0.0
213,Jizan,SA,2021-12-07 10:45:31,17.3333,42.6667,86.94,40,1,13.62
214,Lulea,SE,2021-12-07 10:45:31,65.5842,22.1547,10.47,85,75,6.91
215,Evensk,RU,2021-12-07 10:45:32,61.95,159.2333,4.33,64,100,15.14
216,Riverton,US,2021-12-07 10:45:32,40.5219,-111.9391,44.17,63,90,3.0
217,Raudeberg,NO,2021-12-07 10:45:33,61.9875,5.1352,36.19,80,100,8.01
218,Asau,RO,2021-12-07 10:45:33,46.4333,26.4,36.39,79,100,3.85
219,Severo-Kurilsk,RU,2021-12-07 10:45:34,50.6789,156.125,31.03,64,84,34.87
220,Havre-Saint-Pierre,CA,2021-12-07 10:45:34,50.2334,-63.5986,37.4,100,90,18.41
221,Olga,RU,2021-12-07 10:45:35,43.7444,135.2892,29.5,67,0,3.58
222,Bilma,NE,2021-12-07 10:45:35,18.6853,12.9164,74.44,12,0,23.02
223,Olafsvik,IS,2021-12-07 10:45:36,64.8945,-23.7142,35.04,49,97,10.11
224,Beira,MZ,2021-12-07 10:45:36,-19.8436,34.8389,87.89,74,20,17.0
225,Nioro,GM,2021-12-07 10:45:37,13.35,-15.75,87.89,11,74,8.55
