City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Vila Velha,BR,-20.3297,-40.2925,79.95,77,0,14.0,clear sky
110,Yulara,AU,-25.2406,130.9889,93.04,26,58,4.61,broken clouds
111,Nunguan,PH,7.1283,124.6891,78.82,85,96,0.49,overcast clouds
112,Cidreira,BR,-30.1811,-50.2056,73.2,88,19,10.56,few clouds
113,Lompoc,US,34.6391,-120.4579,51.78,84,1,9.22,clear sky
114,Ballina,AU,-28.8667,153.5667,67.78,84,0,10.6,clear sky
115,Nikolskoye,RU,59.7035,30.7861,32.88,95,100,7.14,overcast clouds
116,Grindavik,IS,63.8424,-22.4338,37.87,93,75,10.36,broken clouds
117,Qaanaaq,GL,77.484,-69.3632,-2.58,71,0,5.03,clear sky
118,Hunucma,MX,21.0167,-89.8667,72.09,98,6,4.05,clear sky
119,Upernavik,GL,72.7868,-56.1549,7.18,93,100,9.89,overcast clouds
120,Coihaique,CL,-45.5752,-72.0662,49.95,81,75,2.3,broken clouds
121,North Battleford,CA,52.7834,-108.2847,-1.12,99,91,3.83,overcast clouds
122,Airai,TL,-8.9266,125.4092,64.83,93,72,1.72,broken clouds
123,Timra,SE,62.487,17.3257,27.68,96,86,2.3,overcast clouds
124,Ixtapa,MX,20.7,-105.2,71.22,93,34,3.02,scattered clouds
125,Sao Filipe,CV,14.8961,-24.4956,75.58,70,100,8.55,overcast clouds
126,Port Blair,IN,11.6667,92.75,82.0,67,74,14.88,broken clouds
127,Pozo Colorado,PY,-23.4923,-58.7972,73.15,95,100,5.88,overcast clouds
128,College,US,64.8569,-147.8028,-20.78,73,75,0.0,light snow
129,Kruisfontein,ZA,-34.0033,24.7314,69.84,90,100,8.05,light rain
130,Gigmoto,PH,13.7796,124.39,78.13,85,80,17.87,broken clouds
131,Avarua,CK,-21.2078,-159.775,73.45,94,75,19.57,moderate rain
132,Khorixas,NA,-20.3667,14.9667,90.86,26,23,5.19,few clouds
133,Frasinet,RO,44.3167,26.8,39.45,72,100,7.4,overcast clouds
134,Saint George,US,37.1041,-113.5841,44.35,62,1,3.44,clear sky
135,Vieques,PR,18.425,-65.8329,78.84,88,40,3.44,scattered clouds
136,Sawakin,SD,19.1059,37.3321,83.89,62,28,17.18,scattered clouds
137,Mayo,US,38.8876,-76.5119,40.98,63,1,1.99,clear sky
138,Gushikawa,JP,26.3544,127.8686,65.43,69,90,12.66,overcast clouds
139,Grand Gaube,MU,-20.0064,57.6608,84.6,64,9,11.99,light rain
140,Lebu,CL,-37.6167,-73.65,50.05,84,82,7.4,broken clouds
141,Port Macquarie,AU,-31.4333,152.9167,65.89,76,0,9.78,clear sky
142,Tuatapere,NZ,-46.1333,167.6833,52.83,93,13,4.47,few clouds
143,Dikson,RU,73.5069,80.5464,-7.06,98,100,20.15,overcast clouds
144,Saskylakh,RU,71.9167,114.0833,-43.24,100,60,4.43,broken clouds
145,Valverde Del Camino,ES,37.5751,-6.7543,54.03,53,0,6.29,clear sky
146,Okhotsk,RU,59.3833,143.3,4.96,72,100,17.58,overcast clouds
147,Nagtipunan,PH,16.2167,121.6,69.57,97,93,3.38,overcast clouds
148,High Level,CA,58.5169,-117.136,-0.29,71,90,4.61,light snow
149,Mayumba,GA,-3.432,10.6554,80.17,84,92,4.36,light rain
150,Ilulissat,GL,69.2167,-51.1,15.82,53,95,4.61,overcast clouds
151,Victoria,HK,22.2855,114.1577,70.18,66,0,4.0,clear sky
152,Tankhoy,RU,51.5528,105.1306,20.21,92,100,9.35,snow
153,Hasaki,JP,35.7333,140.8333,43.29,42,0,11.72,clear sky
154,Mozirje,SI,46.3394,14.9633,41.14,92,100,1.36,overcast clouds
155,Saraza,PH,8.7356,117.78,80.06,86,68,10.25,broken clouds
156,Fujin,CN,47.26,132.0322,10.24,88,100,6.35,overcast clouds
157,Sechura,PE,-5.5569,-80.8222,67.24,81,62,7.36,broken clouds
158,Surab,PK,28.4914,66.2585,52.47,15,0,17.94,clear sky
159,Beidao,CN,34.5686,105.8933,37.35,73,46,4.72,scattered clouds
160,Viedma,AR,-40.8135,-62.9967,59.54,65,1,9.24,clear sky
161,Hastings,GB,50.8552,0.5729,53.71,93,97,13.67,overcast clouds
162,Barrow,US,71.2906,-156.7887,-14.78,76,1,8.05,clear sky
163,Bethel,US,41.3712,-73.414,40.5,60,1,3.0,clear sky
164,Bathsheba,BB,13.2167,-59.5167,79.41,83,40,18.41,scattered clouds
165,La Ronge,CA,55.1001,-105.2842,10.65,92,90,2.3,light snow
166,Bengkulu,ID,-3.8004,102.2655,82.81,73,39,4.32,scattered clouds
167,Conde,BR,-7.2597,-34.9075,78.26,94,75,4.61,broken clouds
168,Colac,AU,-38.3333,143.5833,63.16,75,95,10.94,light rain
169,Omsukchan,RU,62.5333,155.8,-10.52,97,100,8.34,overcast clouds
170,Trat,TH,12.5,102.5,84.97,65,11,11.1,few clouds
171,Marivan,IR,35.5219,46.176,61.52,13,29,1.25,scattered clouds
172,Gao,ML,16.6362,1.637,84.94,6,100,13.6,overcast clouds
173,Jalu,LY,29.0331,21.5482,62.91,49,7,7.63,clear sky
174,Muros,ES,42.7762,-9.0603,59.85,77,72,9.95,broken clouds
175,Qaqortoq,GL,60.7167,-46.0333,41.5,71,100,11.36,overcast clouds
176,Adrar,MR,20.5022,-10.0711,71.74,13,80,12.71,broken clouds
177,Kijang,KR,35.2442,129.2139,37.13,23,0,1.77,clear sky
178,Tezu,IN,27.9167,96.1667,69.35,49,0,0.96,clear sky
179,Mastic Beach,US,40.7668,-72.8521,42.03,54,1,1.99,clear sky
180,Luanda,AO,-8.8368,13.2343,80.6,78,75,8.05,heavy intensity rain
181,Taoudenni,ML,22.6783,-3.9836,70.57,28,9,16.67,clear sky
182,Baturite,BR,-4.3286,-38.8847,79.43,73,69,5.64,broken clouds
183,Curvelo,BR,-18.7564,-44.4308,69.04,98,100,3.94,moderate rain
184,Suhbaatar,MN,50.2314,106.2078,6.53,90,100,2.64,overcast clouds
185,Nabire,ID,-3.3667,135.4833,80.29,79,100,4.99,overcast clouds
186,Amapa,BR,1.0,-52.0,72.12,99,96,1.68,overcast clouds
187,Chandbali,IN,20.7833,86.7667,74.35,49,55,6.69,broken clouds
188,Naze,JP,28.3667,129.4833,58.12,68,100,15.7,overcast clouds
