City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Pouembout,NC,76.95,overcast clouds,-21.1333,164.9,Camping de Tipenga
463,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
465,Filingue,NE,86.47,scattered clouds,14.3521,3.3168,
473,Chimore,BO,74.19,overcast clouds,-16.9833,-65.1333,Bichito
474,Manaus,BR,75.7,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
475,Trinidad,BO,76.98,broken clouds,-14.8333,-64.9,Hotel Piesta
476,Colon,PA,77.36,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
477,Acapulco,MX,75.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
480,Cap Malheureux,MU,84.69,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
493,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
496,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
497,Kutum,SD,81.37,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
501,Maputo,MZ,91.08,scattered clouds,-25.9653,32.5892,Pestana Rovuma
502,Kayes,ML,85.3,overcast clouds,14.0,-11.0,
503,Yarada,IN,82.72,haze,17.65,83.2667,Vishranti
505,Akyab,MM,78.01,few clouds,20.15,92.9,Hotel Memory
506,Ko Samui,TH,80.51,few clouds,9.5357,99.9357,The Passage
512,Riberalta,BO,75.4,broken clouds,-10.9833,-66.1,Hotel Colonial
513,Sirawai,PH,79.92,broken clouds,7.5854,122.1407,Santo Niño Beach
518,Mitu,CO,71.19,overcast clouds,1.1983,-70.1733,
520,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
522,Harare,ZW,90.52,broken clouds,-17.8294,31.0539,Fife Avenue Hotel
526,Saint-Paul,RE,87.89,light rain,-21.0096,55.2707,Boucan Canot
527,Tandalti,SD,93.99,clear sky,13.0167,31.8667,منزل : الهادي محمد مساعد
529,Sorong,ID,82.8,broken clouds,-0.8833,131.25,Waigo Splash Hotel
532,Iranshahr,IR,73.74,clear sky,27.2025,60.6848,نیک سرشت
535,Meulaboh,ID,80.89,light rain,4.1363,96.1285,Kost Pria
539,Barabai,ID,76.78,moderate rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
541,Dicabisagan,PH,74.39,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
542,Moerai,PF,78.69,broken clouds,-22.4333,-151.3333,Le Manotel
543,Aguas Vermelhas,BR,71.04,overcast clouds,-15.7472,-41.46,
546,Babahoyo,EC,73.72,moderate rain,-1.8167,-79.5167,CASA LOS VERGARA
549,Lotofaga,WS,73.18,light rain,-13.9764,-171.8578,Sataoa Beach Fales
550,Roebourne,AU,93.4,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
551,Chorozinho,BR,83.88,overcast clouds,-4.3003,-38.4978,Pousada Triângulo E Churrascaria
553,Ayorou,NE,90.25,broken clouds,14.7308,0.9174,Hotel Amenokal
558,Barra Patuca,HN,75.31,clear sky,15.8,-84.2833,
559,Paka,MY,76.98,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
562,Black River,JM,78.8,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
563,Srandakan,ID,70.74,scattered clouds,-7.9386,110.2506,Puri Brata
568,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
569,Bakau,GM,80.74,overcast clouds,13.4781,-16.6819,Badala Park Hotel
570,Ranong,TH,84.13,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
572,Pirapo,PY,76.08,overcast clouds,-26.85,-55.5333,Seccional Colorada Angel Castro
575,Kothapet,IN,80.83,overcast clouds,19.3333,79.4833,Andhavelly Village
580,Kolokani,ML,87.67,overcast clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
581,Axim,GH,85.77,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
582,Tsiroanomandidy,MG,92.66,scattered clouds,-18.7667,46.0333,Hotel Ravinala
586,Esna,EG,80.62,overcast clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
588,Jutai,BR,73.9,overcast clouds,-5.1833,-68.9,
589,Hobyo,SO,82.94,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
592,Caarapo,BR,73.62,overcast clouds,-22.6342,-54.8222,Hotel Pousada Quinta do Sul
593,Mbanza-Ngungu,CD,80.29,light rain,-5.25,14.8667,Hotel Full Business
594,Gat,IL,77.92,overcast clouds,31.61,34.7642,OlusHome
597,Point Fortin,TT,75.15,overcast clouds,10.1833,-61.6833,Jus Les' Suites
600,Fare,PF,80.15,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
602,Ahuimanu,US,74.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
605,Koumac,NC,77.27,moderate rain,-20.5667,164.2833,Le Monitel
608,Abomsa,ET,80.24,overcast clouds,9.9833,39.9833,
610,Esmeraldas,BR,70.84,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
616,Alugan,PH,79.45,overcast clouds,12.2188,125.4808,JM Lodge
617,Odweyne,SO,80.58,clear sky,9.4092,45.064,Eng Hiirey House
621,Chake Chake,TZ,82.94,light rain,-5.2459,39.7666,Hotel Archipelago
622,Gwadar,PK,79.47,clear sky,25.1216,62.3254,Sadaf Resort
635,Lencois Paulista,BR,77.49,overcast clouds,-22.5986,-48.8003,Saint James Palace Hotel
637,Rio Grande,BR,75.31,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
638,Silvino Lobos,PH,75.04,overcast clouds,12.3,124.8333,
639,Sampit,ID,77.09,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
644,Umm Lajj,SA,81.45,overcast clouds,25.0213,37.2685,Moon light Furnished Units
649,Ambanja,MG,86.43,few clouds,-13.6833,48.45,Hotel Salama and Fast Food
650,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
652,The Valley,AI,79.11,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
653,Eyl,SO,84.02,clear sky,7.9803,49.8164,Amiin Hotel
